16555,16491,16454,
16316,16404,16533,
16484,16441,16697,
16177,16301,16160,
16131,16067,16189,
15578,15941,15574,
15552,15376,15315,
15330,15374,15533,
15671,15384,15668,
15467,15492,15425,
15226,15189,14929,
14985,15241,15107,
14596,14762,14752,
14373,14275,14365,
14581,14442,14618,
14844,14807,14735,
14885,15060,14816,
14501,14631,14440,
14242,13954,14169,
14232,14141,14422,
14248,14410,14306,
14370,14583,14552,
14464,14370,14447,
14697,14603,14372,
14756,14738,14913,
14913,14905,14760,
14484,14688,14549,
14183,14301,14232,
14186,14151,14142,
14041,14204,14128,
13729,13798,13666,
13767,13657,13794,
13690,13622,13731,
13738,13984,13990,
14175,14163,14192,
16489,13880,13682,
14162,14357,15201,
14505,14302,14917,
14231,14472,15082,
14401,14438,15343,
14626,14808,15394,
14842,14931,15708,
14466,14576,15134,
14643,14823,15549,
15058,15029,15739,
14538,14774,15489,
14922,14787,15534,
14882,14985,15484,
15102,14877,15651,
15109,14931,15688,
14576,14934,15475,
14628,14734,15354,
14413,14812,15420,
14419,14496,14973,
14333,14613,15288,
14377,14841,15201,
14272,14483,14962,
14526,14695,15004,
14284,14630,15223,
14048,14140,14763,
14019,14459,14914,
14521,14610,15128,
14073,14181,14787,
13901,13953,14532,
14000,13994,14654,
14039,13911,14640,
13559,13903,14529,
13468,13815,14324,
13135,13471,14056,
13306,13261,13895,
13051,13464,14086,
13393,13251,13876,
10970,15856,13732,
13728,11755,13421,
12558,13773,13825,
12513,13616,13217,
12603,13887,13480,
12847,13929,13512,
12505,13654,13239,
12470,13267,13031,
12404,13190,12895,
12205,13373,13184,
12319,13274,13062,
12371,13293,13153,
12192,12935,12765,
12553,13353,13119,
12817,13931,13428,
12938,13664,13605,
12747,13620,13450,
12530,13577,13439,
12272,13210,13075,
12366,13515,13441,
12594,13656,13418,
12845,13714,13377,
12869,13823,13585,
13023,13862,13833,
13157,14160,14005,
12871,14154,13674,
13438,14303,14077,
13046,14040,13819,
13375,14342,14176,
13232,14118,13793,
12982,11814,16811,
13456,14653,12253,
13233,12666,14134,
13373,13067,13738,
13329,13099,13640,
13347,13103,13778,
13101,12672,13585,
13179,12684,13525,
13182,12893,13625,
13476,13269,13931,
13444,13083,13639,
13457,13223,13897,
13879,13541,14242,
14025,13518,14334,
13953,13588,14057,
13886,13518,14337,
14164,13738,14343,
14021,13573,14201,
13870,13701,14232,
13784,13797,14075,
13667,13650,14098,
13465,13418,14161,
14225,13367,14321,
13609,13258,14124,
13357,12956,13756,
13462,13147,13962,
13358,13287,13760,
13111,12869,13738,
13411,12937,13847,
13104,13098,13606,
13590,12858,13741,
13417,13104,13750,
13528,13124,13649,
13163,12970,13593,
13019,12681,13466,
13345,13047,13802,
13574,13381,11730,
12857,13203,13328,
12743,13014,13090,
12550,12784,12974,
12216,12744,12706,
12277,12739,12897,
12683,13254,13018,
12727,13244,13579,
12636,13257,13328,
12698,13418,13425,
12516,13169,13148,
12440,13112,13151,
12321,12832,12843,
12571,13200,13113,
12816,13345,13632,
13076,13692,13680,
13001,13393,13440,
13212,13715,13600,
13136,13775,13845,
13399,13898,14066,
13711,14130,14104,
